VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 755.635192;nd_seq 149896; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0056;-006 ;phys_accs  27.861452; -93.615654; -959.307129;phys_gyros   0.075410; -0.015391; -0.080784; ; frame_size 4534;video_stream.frame_number 21479;  hdvideo_stream.frame_number: 0 ; 1431377653.549746 

;navdata_time 755.635192;nd_seq 149897; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0056;-006 ;phys_accs  27.861452; -93.615654; -959.307129;phys_gyros   0.075410; -0.015391; -0.080784; ; frame_size 4534;video_stream.frame_number 21479;  hdvideo_stream.frame_number: 0 ; 1431377653.551540 

;navdata_time 755.640411;nd_seq 149898; raw_accs 2076; 2040; 2544; raw_gyros 0040; 0052;-006 ;phys_accs  27.820789; -95.444321; -958.850098;phys_gyros   0.019990; -0.018077; -0.041574; ; frame_size 4534;video_stream.frame_number 21479;  hdvideo_stream.frame_number: 0 ; 1431377653.554374 

;navdata_time 755.645385;nd_seq 149899; raw_accs 2076; 2040; 2544; raw_gyros 0043; 0053;-007 ;phys_accs  27.835859; -94.927979; -956.542969;phys_gyros   0.067931; -0.052119;  0.013731; ; frame_size 4534;video_stream.frame_number 21479;  hdvideo_stream.frame_number: 0 ; 1431377653.559214 

;navdata_time 755.650421;nd_seq 149900; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0055;-006 ;phys_accs  27.866415; -94.452881; -954.563477;phys_gyros   0.013114; -0.022249; -0.024549; ; frame_size 4534;video_stream.frame_number 21479;  hdvideo_stream.frame_number: 0 ; 1431377653.564585 

;navdata_time 755.655334;nd_seq 149901; raw_accs 2076; 2040; 2548; raw_gyros 0039; 0052;-006 ;phys_accs  27.860424; -93.828827; -954.646484;phys_gyros   0.047004; -0.021369; -0.001531; ; frame_size 4534;video_stream.frame_number 21479;  hdvideo_stream.frame_number: 0 ; 1431377653.569278 

;navdata_time 755.660339;nd_seq 149902; raw_accs 2076; 2040; 2548; raw_gyros 0044; 0053;-008 ;phys_accs  27.840424; -94.181381; -957.420410;phys_gyros   0.061450; -0.024573; -0.005154; ; frame_size 4534;video_stream.frame_number 21479;  hdvideo_stream.frame_number: 0 ; 1431377653.574458 

;navdata_time 755.665344;nd_seq 149903; raw_accs 2076; 2040; 2548; raw_gyros 0043; 0052;-006 ;phys_accs  27.814867; -94.570686; -960.013672;phys_gyros   0.056338;  0.041025; -0.008228; ; frame_size 4534;video_stream.frame_number 21479;  hdvideo_stream.frame_number: 0 ; 1431377653.579234 

;navdata_time 755.670410;nd_seq 149904; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0053;-007 ;phys_accs  27.802698; -94.592125; -961.705078;phys_gyros   0.128507; -0.006768;  0.047941; ; frame_size 4534;video_stream.frame_number 21479;  hdvideo_stream.frame_number: 0 ; 1431377653.584258 

;navdata_time 755.675323;nd_seq 149905; raw_accs 2076; 2044; 2548; raw_gyros 0040; 0055;-006 ;phys_accs  27.794855; -96.065796; -960.452148;phys_gyros   0.071158;  0.037689; -0.013086; ; frame_size 15832;video_stream.frame_number 21480;  hdvideo_stream.frame_number: 0 ; 1431377653.589165 

;navdata_time 755.680694;nd_seq 149906; raw_accs 2076; 2044; 2548; raw_gyros 0042; 0052;-008 ;phys_accs  27.761070; -97.740364; -959.363281;phys_gyros   0.090533; -0.012201;  0.039691; ; frame_size 15832;video_stream.frame_number 21480;  hdvideo_stream.frame_number: 0 ; 1431377653.596196 

;navdata_time 755.685607;nd_seq 149907; raw_accs 2076; 2044; 2544; raw_gyros 0040; 0054;-006 ;phys_accs  27.701548; -101.233788; -957.624023;phys_gyros   0.011848; -0.049878; -0.005927; ; frame_size 15832;video_stream.frame_number 21480;  hdvideo_stream.frame_number: 0 ; 1431377653.599715 

;navdata_time 755.690490;nd_seq 149908; raw_accs 2076; 2044; 2548; raw_gyros 0043; 0053;-007 ;phys_accs  27.651880; -102.960724; -957.556152;phys_gyros   0.018704; -0.005757;  0.020458; ; frame_size 15832;video_stream.frame_number 21480;  hdvideo_stream.frame_number: 0 ; 1431377653.604919 

;navdata_time 755.695495;nd_seq 149909; raw_accs 2076; 2044; 2544; raw_gyros 0042; 0053;-005 ;phys_accs  27.652395; -103.489563; -955.506348;phys_gyros   0.052951; -0.051715;  0.004065; ; frame_size 15832;video_stream.frame_number 21480;  hdvideo_stream.frame_number: 0 ; 1431377653.609514 

;navdata_time 755.700531;nd_seq 149910; raw_accs 2076; 2044; 2544; raw_gyros 0042; 0053;-007 ;phys_accs  27.674755; -102.825638; -954.983887;phys_gyros   0.094143;  0.028198; -0.018500; ; frame_size 15832;video_stream.frame_number 21480;  hdvideo_stream.frame_number: 0 ; 1431377653.614804 

;navdata_time 755.705505;nd_seq 149911; raw_accs 2076; 2044; 2544; raw_gyros 0041; 0053;-006 ;phys_accs  27.737225; -101.445572; -952.574707;phys_gyros   0.125261;  0.003166; -0.020496; ; frame_size 3390;video_stream.frame_number 21481;  hdvideo_stream.frame_number: 0 ; 1431377653.619181 

;navdata_time 755.710571;nd_seq 149912; raw_accs 2076; 2040; 2544; raw_gyros 0039; 0052;-007 ;phys_accs  27.777391; -100.554878; -952.000977;phys_gyros   0.050952;  0.005750; -0.031346; ; frame_size 3390;video_stream.frame_number 21481;  hdvideo_stream.frame_number: 0 ; 1431377653.624552 

;navdata_time 755.715667;nd_seq 149913; raw_accs 2076; 2040; 2544; raw_gyros 0042; 0053;-008 ;phys_accs  27.825861; -98.483841; -952.019043;phys_gyros   0.028977;  0.036194;  0.022579; ; frame_size 3390;video_stream.frame_number 21481;  hdvideo_stream.frame_number: 0 ; 1431377653.631629 

