VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1928.793945;nd_seq 383456; raw_accs 2072; 2048; 2544; raw_gyros 0050; 0056;-006 ;phys_accs  19.608036; -110.580605; -952.669922;phys_gyros   0.033657;  0.049241;  0.001585; ; frame_size 16524;video_stream.frame_number 48994;  hdvideo_stream.frame_number: 0 ; 1431378826.830075 

;navdata_time 1928.799285;nd_seq 383457; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-006 ;phys_accs  19.600889; -110.378014; -953.284668;phys_gyros   0.053490; -0.021383; -0.044046; ; frame_size 16524;video_stream.frame_number 48994;  hdvideo_stream.frame_number: 0 ; 1431378826.835718 

;navdata_time 1928.804199;nd_seq 383458; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0055;-006 ;phys_accs  19.602074; -109.819412; -951.390625;phys_gyros   0.033132; -0.088918; -0.045936; ; frame_size 16524;video_stream.frame_number 48994;  hdvideo_stream.frame_number: 0 ; 1431378826.839766 

;navdata_time 1928.809112;nd_seq 383459; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0053;-008 ;phys_accs  19.602858; -109.989037; -952.214844;phys_gyros  -0.005323; -0.059409; -0.043587; ; frame_size 4828;video_stream.frame_number 48995;  hdvideo_stream.frame_number: 0 ; 1431378826.856718 

;navdata_time 1928.814117;nd_seq 383460; raw_accs 2072; 2048; 2544; raw_gyros 0050; 0054;-006 ;phys_accs  19.612535; -109.837669; -951.190918;phys_gyros   0.018177; -0.049740; -0.006854; ; frame_size 4828;video_stream.frame_number 48995;  hdvideo_stream.frame_number: 0 ; 1431378826.858641 

;navdata_time 1928.819244;nd_seq 383461; raw_accs 2072; 2048; 2544; raw_gyros 0050; 0054;-006 ;phys_accs  19.639986; -110.022293; -952.369629;phys_gyros   0.001538;  0.045786;  0.043276; ; frame_size 4828;video_stream.frame_number 48995;  hdvideo_stream.frame_number: 0 ; 1431378826.859507 

;navdata_time 1928.824310;nd_seq 383462; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0053;-007 ;phys_accs  19.697065; -110.010803; -952.235840;phys_gyros   0.044509;  0.028449;  0.003749; ; frame_size 4828;video_stream.frame_number 48995;  hdvideo_stream.frame_number: 0 ; 1431378826.860056 

;navdata_time 1928.829406;nd_seq 383463; raw_accs 2072; 2048; 2544; raw_gyros 0051; 0054;-007 ;phys_accs  19.741552; -109.855522; -951.879395;phys_gyros   0.061278;  0.023010;  0.017915; ; frame_size 4828;video_stream.frame_number 48995;  hdvideo_stream.frame_number: 0 ; 1431378826.866910 

;navdata_time 1928.834228;nd_seq 383464; raw_accs 2072; 2048; 2544; raw_gyros 0051; 0053;-008 ;phys_accs  19.762047; -109.952507; -952.161621;phys_gyros   0.067110;  0.024148;  0.001108; ; frame_size 4828;video_stream.frame_number 48995;  hdvideo_stream.frame_number: 0 ; 1431378826.869620 

;navdata_time 1928.839599;nd_seq 383465; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-006 ;phys_accs  19.748140; -109.906731; -951.743164;phys_gyros   0.085534; -0.010302;  0.020923; ; frame_size 4828;video_stream.frame_number 48995;  hdvideo_stream.frame_number: 0 ; 1431378826.880042 

;navdata_time 1928.844299;nd_seq 383466; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0053;-006 ;phys_accs  19.710625; -109.989655; -952.082031;phys_gyros   0.053014;  0.053231;  0.050787; ; frame_size 4842;video_stream.frame_number 48996;  hdvideo_stream.frame_number: 0 ; 1431378826.882603 

;navdata_time 1928.849365;nd_seq 383467; raw_accs 2072; 2048; 2544; raw_gyros 0050; 0055;-006 ;phys_accs  19.671776; -110.012650; -952.070801;phys_gyros   0.040496; -0.004100; -0.011857; ; frame_size 4842;video_stream.frame_number 48996;  hdvideo_stream.frame_number: 0 ; 1431378826.884492 

;navdata_time 1928.854492;nd_seq 383468; raw_accs 2072; 2048; 2540; raw_gyros 0050; 0053;-007 ;phys_accs  19.653145; -109.943787; -950.460938;phys_gyros   0.024453;  0.024743; -0.007531; ; frame_size 4842;video_stream.frame_number 48996;  hdvideo_stream.frame_number: 0 ; 1431378826.889805 

;navdata_time 1928.859375;nd_seq 383469; raw_accs 2072; 2048; 2540; raw_gyros 0051; 0055;-006 ;phys_accs  19.651121; -109.951645; -948.768066;phys_gyros   0.035816; -0.021327; -0.045383; ; frame_size 4842;video_stream.frame_number 48996;  hdvideo_stream.frame_number: 0 ; 1431378826.894458 

;navdata_time 1928.864440;nd_seq 383470; raw_accs 2072; 2048; 2540; raw_gyros 0049; 0055;-006 ;phys_accs  19.679457; -109.882553; -945.208984;phys_gyros   0.061681; -0.034592; -0.024415; ; frame_size 4842;video_stream.frame_number 48996;  hdvideo_stream.frame_number: 0 ; 1431378826.901707 

;navdata_time 1928.869445;nd_seq 383471; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-006 ;phys_accs  19.686411; -109.909988; -945.200195;phys_gyros   0.067130; -0.028760; -0.002265; ; frame_size 3732;video_stream.frame_number 48997;  hdvideo_stream.frame_number: 0 ; 1431378826.904488 

