VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 22.756256;nd_seq 386; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0054;-005 ;phys_accs  59.214520; -95.519539; -998.723633;phys_gyros   0.023134; -0.110463; -0.000701; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.581942 

;navdata_time 22.761199;nd_seq 387; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0055;-006 ;phys_accs  59.226521; -95.507790; -998.754395;phys_gyros   0.039132; -0.102571;  0.010454; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.586631 

;navdata_time 22.766448;nd_seq 388; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0053;-007 ;phys_accs  59.220924; -95.530884; -998.692383;phys_gyros   0.000548; -0.069841; -0.002672; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.592178 

;navdata_time 22.771453;nd_seq 389; raw_accs 2092; 2040; 2568; raw_gyros 0021; 0052;-005 ;phys_accs  59.201653; -95.456825; -998.770020;phys_gyros  -0.020322; -0.039613;  0.034423; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.598411 

;navdata_time 22.776397;nd_seq 390; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0054;-006 ;phys_accs  59.176437; -95.468056; -998.749023;phys_gyros   0.012706;  0.007658;  0.065584; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.602249 

;navdata_time 22.781280;nd_seq 391; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0055;-004 ;phys_accs  59.146187; -95.434792; -998.737305;phys_gyros  -0.010635; -0.007236;  0.013971; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.606895 

;navdata_time 22.786315;nd_seq 392; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0053;-005 ;phys_accs  59.107960; -95.424187; -998.752441;phys_gyros   0.007681; -0.022063;  0.008386; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.611951 

;navdata_time 22.791320;nd_seq 393; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0054;-006 ;phys_accs  59.066181; -95.450043; -998.725098;phys_gyros  -0.034124; -0.058783; -0.045851; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.616878 

;navdata_time 22.796295;nd_seq 394; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0054;-006 ;phys_accs  59.028015; -95.452965; -998.749512;phys_gyros  -0.038571; -0.068299; -0.016634; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.622086 

;navdata_time 22.801483;nd_seq 395; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0055;-005 ;phys_accs  59.005428; -95.494385; -998.744629;phys_gyros  -0.036456; -0.064760;  0.024441; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.627278 

;navdata_time 22.806457;nd_seq 396; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0055;-005 ;phys_accs  59.006775; -95.520187; -998.739258;phys_gyros  -0.030798; -0.071064;  0.018928; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.632054 

;navdata_time 22.811309;nd_seq 397; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0055;-007 ;phys_accs  59.030460; -95.545891; -998.748047;phys_gyros  -0.019619; -0.095015;  0.052372; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.636813 

;navdata_time 22.816375;nd_seq 398; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0054;-006 ;phys_accs  59.069717; -95.574364; -998.736328;phys_gyros  -0.026545; -0.112535;  0.007235; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.642095 

