VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 15.029907;nd_seq 2192; raw_accs 2084; 2044; 2568; raw_gyros 0016; 0055;-004 ;phys_accs  42.673660; -103.176147; -998.244080;phys_gyros  -0.229843; -0.181808; -0.019456; ; frame_size 1170;video_stream.frame_number 328;  hdvideo_stream.frame_number: 0 ; 1431376912.941111 

;navdata_time 15.034790;nd_seq 2193; raw_accs 2084; 2044; 2568; raw_gyros 0015; 0054;-006 ;phys_accs  43.442177; -102.988655; -999.256287;phys_gyros  -0.247341; -0.193040;  0.057707; ; frame_size 1170;video_stream.frame_number 328;  hdvideo_stream.frame_number: 0 ; 1431376912.943139 

;navdata_time 15.040252;nd_seq 2194; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0054;-006 ;phys_accs  42.811604; -101.594025; -999.987732;phys_gyros  -0.243253; -0.230074;  0.017676; ; frame_size 22927;video_stream.frame_number 329;  hdvideo_stream.frame_number: 0 ; 1431376912.949531 

;navdata_time 15.044952;nd_seq 2195; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0056;-005 ;phys_accs  43.333961; -99.523346; -998.496521;phys_gyros  -0.258261; -0.265539;  0.062123; ; frame_size 22927;video_stream.frame_number 329;  hdvideo_stream.frame_number: 0 ; 1431376912.953897 

;navdata_time 15.050079;nd_seq 2196; raw_accs 2084; 2040; 2568; raw_gyros 0018; 0054;-004 ;phys_accs  43.162800; -96.333160; -997.575134;phys_gyros  -0.213028; -0.268330;  0.054338; ; frame_size 22927;video_stream.frame_number 329;  hdvideo_stream.frame_number: 0 ; 1431376912.959589 

;navdata_time 15.054870;nd_seq 2197; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0055;-006 ;phys_accs  43.082424; -94.595886; -998.397888;phys_gyros  -0.208271; -0.278538;  0.038409; ; frame_size 22927;video_stream.frame_number 329;  hdvideo_stream.frame_number: 0 ; 1431376912.964393 

;navdata_time 15.059967;nd_seq 2198; raw_accs 2084; 2040; 2568; raw_gyros 0015; 0056;-008 ;phys_accs  43.407764; -93.996864; -998.069763;phys_gyros  -0.178400; -0.257488;  0.075645; ; frame_size 3330;video_stream.frame_number 330;  hdvideo_stream.frame_number: 0 ; 1431376912.968347 

;navdata_time 15.064880;nd_seq 2199; raw_accs 2084; 2040; 2564; raw_gyros 0018; 0055;-006 ;phys_accs  43.174129; -94.735641; -997.548767;phys_gyros  -0.199575; -0.291843;  0.070288; ; frame_size 3330;video_stream.frame_number 330;  hdvideo_stream.frame_number: 0 ; 1431376912.975952 

;navdata_time 15.069854;nd_seq 2200; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0058;-005 ;phys_accs  43.374229; -95.938538; -996.589294;phys_gyros  -0.237366; -0.332807;  0.134388; ; frame_size 3330;video_stream.frame_number 330;  hdvideo_stream.frame_number: 0 ; 1431376912.979271 

;navdata_time 15.075012;nd_seq 2201; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0056;-004 ;phys_accs  43.355301; -95.364388; -994.876892;phys_gyros  -0.210785; -0.343793;  0.089617; ; frame_size 3330;video_stream.frame_number 330;  hdvideo_stream.frame_number: 0 ; 1431376912.984803 

;navdata_time 15.080139;nd_seq 2202; raw_accs 2084; 2040; 2568; raw_gyros 0016; 0056;-006 ;phys_accs  43.294891; -95.545479; -996.846619;phys_gyros  -0.233805; -0.400228;  0.061194; ; frame_size 3330;video_stream.frame_number 330;  hdvideo_stream.frame_number: 0 ; 1431376912.988838 

;navdata_time 15.084991;nd_seq 2203; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0055;-005 ;phys_accs  43.424915; -94.680954; -997.703064;phys_gyros  -0.190311; -0.336904;  0.000749; ; frame_size 3330;video_stream.frame_number 330;  hdvideo_stream.frame_number: 0 ; 1431376912.993576 

;navdata_time 15.090026;nd_seq 2204; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0055;-005 ;phys_accs  43.318226; -95.092445; -999.251404;phys_gyros  -0.217457; -0.329883;  0.005660; ; frame_size 2388;video_stream.frame_number 331;  hdvideo_stream.frame_number: 0 ; 1431376913.001720 

;navdata_time 15.094909;nd_seq 2205; raw_accs 2084; 2040; 2568; raw_gyros 0015; 0055;-006 ;phys_accs  43.389568; -95.294189; -999.703552;phys_gyros  -0.251626; -0.272233;  0.048171; ; frame_size 2388;video_stream.frame_number 331;  hdvideo_stream.frame_number: 0 ; 1431376913.003446 

;navdata_time 15.099945;nd_seq 2206; raw_accs 2084; 2040; 2568; raw_gyros 0016; 0055;-004 ;phys_accs  43.394024; -95.181519; -997.770935;phys_gyros  -0.242894; -0.246138;  0.049244; ; frame_size 2388;video_stream.frame_number 331;  hdvideo_stream.frame_number: 0 ; 1431376913.011331 

;navdata_time 15.104858;nd_seq 2207; raw_accs 2084; 2040; 2568; raw_gyros 0018; 0056;-005 ;phys_accs  43.340034; -95.352661; -998.662476;phys_gyros  -0.275185; -0.296492;  0.063500; ; frame_size 2388;video_stream.frame_number 331;  hdvideo_stream.frame_number: 0 ; 1431376913.013217 

;navdata_time 15.110351;nd_seq 2208; raw_accs 2084; 2044; 2568; raw_gyros 0015; 0054;-005 ;phys_accs  43.330681; -96.617477; -997.542847;phys_gyros  -0.239341; -0.261250; -0.000937; ; frame_size 2388;video_stream.frame_number 331;  hdvideo_stream.frame_number: 0 ; 1431376913.019270 

;navdata_time 15.114898;nd_seq 2209; raw_accs 2084; 2044; 2568; raw_gyros 0018; 0054;-004 ;phys_accs  43.188538; -98.630661; -998.849487;phys_gyros  -0.221086; -0.301545;  0.006914; ; frame_size 2388;video_stream.frame_number 331;  hdvideo_stream.frame_number: 0 ; 1431376913.024252 

;navdata_time 15.120086;nd_seq 2210; raw_accs 2084; 2044; 2568; raw_gyros 0018; 0053;-004 ;phys_accs  43.094864; -102.196266; -998.687866;phys_gyros  -0.211569; -0.217719; -0.015698; ; frame_size 2388;video_stream.frame_number 331;  hdvideo_stream.frame_number: 0 ; 1431376913.028479 

