VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1419.190734;nd_seq 282055; raw_accs 2072; 2044; 2548; raw_gyros 0047; 0053;-008 ;phys_accs  19.793989; -101.954819; -960.270996;phys_gyros  -0.057766;  0.012124;  0.104864; ; frame_size 4098;video_stream.frame_number 40494;  hdvideo_stream.frame_number: 0 ; 1431378317.140554 

;navdata_time 1419.195800;nd_seq 282056; raw_accs 2072; 2044; 2548; raw_gyros 0045; 0053;-009 ;phys_accs  19.778805; -102.081619; -958.843750;phys_gyros  -0.090314; -0.002707;  0.130958; ; frame_size 4098;video_stream.frame_number 40494;  hdvideo_stream.frame_number: 0 ; 1431378317.141894 

;navdata_time 1419.200775;nd_seq 282057; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-007 ;phys_accs  19.742819; -102.310371; -957.999023;phys_gyros  -0.057125; -0.022205;  0.139549; ; frame_size 4098;video_stream.frame_number 40494;  hdvideo_stream.frame_number: 0 ; 1431378317.142708 

;navdata_time 1419.206146;nd_seq 282058; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0053;-009 ;phys_accs  19.730486; -102.275558; -955.955566;phys_gyros  -0.030030;  0.006582;  0.126304; ; frame_size 4098;video_stream.frame_number 40494;  hdvideo_stream.frame_number: 0 ; 1431378317.143521 

;navdata_time 1419.211120;nd_seq 282059; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0053;-006 ;phys_accs  19.739473; -102.125099; -953.379395;phys_gyros  -0.032161;  0.003923;  0.041412; ; frame_size 4098;video_stream.frame_number 40494;  hdvideo_stream.frame_number: 0 ; 1431378317.155166 

;navdata_time 1419.215881;nd_seq 282060; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-007 ;phys_accs  19.756575; -102.137970; -951.456543;phys_gyros   0.007870;  0.026153;  0.059714; ; frame_size 4098;video_stream.frame_number 40494;  hdvideo_stream.frame_number: 0 ; 1431378317.155725 

;navdata_time 1419.220916;nd_seq 282061; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-008 ;phys_accs  19.775705; -102.139008; -950.643066;phys_gyros  -0.030991; -0.013345;  0.019939; ; frame_size 4098;video_stream.frame_number 40494;  hdvideo_stream.frame_number: 0 ; 1431378317.156489 

;navdata_time 1419.225982;nd_seq 282062; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-006 ;phys_accs  19.781445; -102.196442; -951.443848;phys_gyros  -0.002521; -0.035430;  0.023292; ; frame_size 4385;video_stream.frame_number 40495;  hdvideo_stream.frame_number: 0 ; 1431378317.162569 

;navdata_time 1419.230895;nd_seq 282063; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  19.786549; -102.185585; -952.560059;phys_gyros  -0.028464; -0.052486;  0.046327; ; frame_size 4385;video_stream.frame_number 40495;  hdvideo_stream.frame_number: 0 ; 1431378317.164448 

;navdata_time 1419.235992;nd_seq 282064; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0053;-005 ;phys_accs  19.808872; -102.102127; -952.205078;phys_gyros  -0.025040; -0.029219; -0.031940; ; frame_size 4385;video_stream.frame_number 40495;  hdvideo_stream.frame_number: 0 ; 1431378317.178038 

;navdata_time 1419.241210;nd_seq 282065; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0053;-007 ;phys_accs  19.799364; -103.611206; -952.361816;phys_gyros   0.004474;  0.017811;  0.020771; ; frame_size 4385;video_stream.frame_number 40495;  hdvideo_stream.frame_number: 0 ; 1431378317.179987 

;navdata_time 1419.246459;nd_seq 282066; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-008 ;phys_accs  19.795166; -105.453537; -951.480957;phys_gyros   0.021862;  0.039237; -0.040801; ; frame_size 4385;video_stream.frame_number 40495;  hdvideo_stream.frame_number: 0 ; 1431378317.180655 

;navdata_time 1419.251129;nd_seq 282067; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0054;-007 ;phys_accs  19.738993; -108.961838; -951.919434;phys_gyros   0.072186;  0.041646;  0.026952; ; frame_size 4385;video_stream.frame_number 40495;  hdvideo_stream.frame_number: 0 ; 1431378317.184852 

;navdata_time 1419.256164;nd_seq 282068; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-008 ;phys_accs  19.732059; -109.084885; -952.066895;phys_gyros   0.052464;  0.003669;  0.067123; ; frame_size 2037;video_stream.frame_number 40496;  hdvideo_stream.frame_number: 0 ; 1431378317.189775 

;navdata_time 1419.261077;nd_seq 282069; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0053;-007 ;phys_accs  19.736221; -107.742928; -952.015625;phys_gyros   0.001324; -0.009720;  0.056583; ; frame_size 2037;video_stream.frame_number 40496;  hdvideo_stream.frame_number: 0 ; 1431378317.194697 

;navdata_time 1419.266265;nd_seq 282070; raw_accs 2076; 2044; 2544; raw_gyros 0046; 0054;-008 ;phys_accs  21.322742; -103.590126; -952.167969;phys_gyros  -0.037803; -0.013891;  0.108640; ; frame_size 2037;video_stream.frame_number 40496;  hdvideo_stream.frame_number: 0 ; 1431378317.203171 

;navdata_time 1419.271270;nd_seq 282071; raw_accs 2076; 2044; 2544; raw_gyros 0048; 0054;-010 ;phys_accs  23.244616; -100.641121; -951.904297;phys_gyros  -0.059068;  0.011682;  0.061516; ; frame_size 2037;video_stream.frame_number 40496;  hdvideo_stream.frame_number: 0 ; 1431378317.206809 

;navdata_time 1419.276367;nd_seq 282072; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-009 ;phys_accs  25.191843; -100.765984; -952.047363;phys_gyros  -0.011262; -0.004232;  0.126994; ; frame_size 2037;video_stream.frame_number 40496;  hdvideo_stream.frame_number: 0 ; 1431378317.214140 

;navdata_time 1419.281188;nd_seq 282073; raw_accs 2072; 2044; 2544; raw_gyros 0045; 0053;-006 ;phys_accs  24.952913; -101.259651; -952.075195;phys_gyros   0.007797; -0.004132;  0.128013; ; frame_size 2037;video_stream.frame_number 40496;  hdvideo_stream.frame_number: 0 ; 1431378317.219358 

;navdata_time 1419.286529;nd_seq 282074; raw_accs 2072; 2044; 2548; raw_gyros 0048; 0052;-008 ;phys_accs  21.962532; -103.412102; -953.488281;phys_gyros   0.012859; -0.003991;  0.113063; ; frame_size 2037;video_stream.frame_number 40496;  hdvideo_stream.frame_number: 0 ; 1431378317.220225 

;navdata_time 1419.291351;nd_seq 282075; raw_accs 2072; 2044; 2548; raw_gyros 0045; 0055;-006 ;phys_accs  19.629417; -102.420341; -955.344727;phys_gyros  -0.042892;  0.004564;  0.059334; ; frame_size 3791;video_stream.frame_number 40497;  hdvideo_stream.frame_number: 0 ; 1431378317.225772 

;navdata_time 1419.296264;nd_seq 282076; raw_accs 2072; 2044; 2548; raw_gyros 0046; 0054;-008 ;phys_accs  17.730917; -102.423843; -958.603027;phys_gyros  -0.048832;  0.039990;  0.011494; ; frame_size 3791;video_stream.frame_number 40497;  hdvideo_stream.frame_number: 0 ; 1431378317.232957 

