VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1371.035583;nd_seq 272466; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-006 ;phys_accs  19.683416; -111.054131; -952.038086;phys_gyros  -0.005876;  0.008078; -0.027460; ; frame_size 2161;video_stream.frame_number 39050;  hdvideo_stream.frame_number: 0 ; 1431378268.967720 

;navdata_time 1371.040618;nd_seq 272467; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0052;-007 ;phys_accs  19.660547; -109.966972; -952.018066;phys_gyros   0.025753;  0.009774; -0.007149; ; frame_size 4440;video_stream.frame_number 39051;  hdvideo_stream.frame_number: 0 ; 1431378268.976225 

;navdata_time 1371.045745;nd_seq 272468; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  19.623199; -110.271606; -951.991699;phys_gyros   0.031690;  0.029947;  0.034439; ; frame_size 4440;video_stream.frame_number 39051;  hdvideo_stream.frame_number: 0 ; 1431378268.977560 

;navdata_time 1371.050628;nd_seq 272469; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-007 ;phys_accs  19.623903; -109.308510; -952.023438;phys_gyros   0.075314;  0.045815;  0.030871; ; frame_size 4440;video_stream.frame_number 39051;  hdvideo_stream.frame_number: 0 ; 1431378268.984624 

;navdata_time 1371.050628;nd_seq 272470; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-007 ;phys_accs  19.623903; -109.308510; -952.023438;phys_gyros   0.075314;  0.045815;  0.030871; ; frame_size 4440;video_stream.frame_number 39051;  hdvideo_stream.frame_number: 0 ; 1431378268.985990 

;navdata_time 1371.056182;nd_seq 272471; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0052;-007 ;phys_accs  19.631748; -108.658501; -951.977051;phys_gyros   0.057235;  0.039051;  0.028064; ; frame_size 4440;video_stream.frame_number 39051;  hdvideo_stream.frame_number: 0 ; 1431378269.001044 

;navdata_time 1371.061096;nd_seq 272472; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0053;-008 ;phys_accs  19.640604; -108.280556; -952.003906;phys_gyros   0.062186;  0.062272;  0.035960; ; frame_size 4440;video_stream.frame_number 39051;  hdvideo_stream.frame_number: 0 ; 1431378269.001595 

;navdata_time 1371.065979;nd_seq 272473; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0053;-006 ;phys_accs  19.676146; -106.554169; -951.991699;phys_gyros   0.036701;  0.050272;  0.028598; ; frame_size 4440;video_stream.frame_number 39051;  hdvideo_stream.frame_number: 0 ; 1431378269.002132 

;navdata_time 1371.070892;nd_seq 272474; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0053;-007 ;phys_accs  19.643944; -108.503342; -951.992188;phys_gyros   0.034918;  0.053241;  0.046344; ; frame_size 4440;video_stream.frame_number 39051;  hdvideo_stream.frame_number: 0 ; 1431378269.005783 

;navdata_time 1371.075866;nd_seq 272475; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-006 ;phys_accs  19.632793; -109.225761; -952.010254;phys_gyros   0.018370;  0.036687;  0.005746; ; frame_size 4325;video_stream.frame_number 39052;  hdvideo_stream.frame_number: 0 ; 1431378269.007707 

;navdata_time 1371.080841;nd_seq 272476; raw_accs 2068; 2048; 2544; raw_gyros 0046; 0053;-005 ;phys_accs  18.066679; -110.655708; -951.971191;phys_gyros  -0.007069;  0.017683; -0.021072; ; frame_size 4325;video_stream.frame_number 39052;  hdvideo_stream.frame_number: 0 ; 1431378269.027104 

;navdata_time 1371.085937;nd_seq 272477; raw_accs 2068; 2048; 2544; raw_gyros 0045; 0055;-005 ;phys_accs  16.169388; -111.237343; -951.945801;phys_gyros  -0.030229; -0.009830; -0.058701; ; frame_size 4325;video_stream.frame_number 39052;  hdvideo_stream.frame_number: 0 ; 1431378269.028787 

;navdata_time 1371.091033;nd_seq 272478; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0055;-005 ;phys_accs  14.252649; -109.226341; -951.894531;phys_gyros  -0.046817; -0.031236; -0.098223; ; frame_size 4325;video_stream.frame_number 39052;  hdvideo_stream.frame_number: 0 ; 1431378269.029366 

;navdata_time 1371.096130;nd_seq 272479; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0054;-005 ;phys_accs  14.484850; -110.188652; -951.900879;phys_gyros  -0.029430; -0.056400; -0.091257; ; frame_size 4325;video_stream.frame_number 39052;  hdvideo_stream.frame_number: 0 ; 1431378269.029992 

;navdata_time 1371.101013;nd_seq 272480; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0054;-005 ;phys_accs  17.479124; -109.095352; -951.959961;phys_gyros  -0.023675; -0.054026; -0.112531; ; frame_size 4325;video_stream.frame_number 39052;  hdvideo_stream.frame_number: 0 ; 1431378269.033014 

;navdata_time 1371.106262;nd_seq 272481; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-004 ;phys_accs  19.834866; -110.467239; -952.007812;phys_gyros  -0.004289; -0.041102; -0.096045; ; frame_size 2010;video_stream.frame_number 39053;  hdvideo_stream.frame_number: 0 ; 1431378269.049299 

;navdata_time 1371.111083;nd_seq 272482; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-007 ;phys_accs  21.750767; -110.382568; -952.048828;phys_gyros   0.001339; -0.026380; -0.085426; ; frame_size 2010;video_stream.frame_number 39053;  hdvideo_stream.frame_number: 0 ; 1431378269.050585 

;navdata_time 1371.116241;nd_seq 272483; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-007 ;phys_accs  20.465887; -109.986069; -952.019531;phys_gyros   0.032489; -0.000155; -0.063257; ; frame_size 2010;video_stream.frame_number 39053;  hdvideo_stream.frame_number: 0 ; 1431378269.051464 

